last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Mayers, Mike,594577,LAA,FF,4-Seamer,0.6,3,468,37.9,129,0.227,0.471,0.324,30.1,36.4,27.8,0.188,0.395,0.28,41.7
Gilbreath, Lucas,656458,COL,FF,4-Seamer,-1,-5,461,63.1,129,0.187,0.29,0.291,26,20.9,21.1,0.2,0.307,0.294,21
Petit, Yusmeiro,433589,OAK,FF,4-Seamer,0.1,0,491,45.4,129,0.266,0.427,0.309,11,5.4,5.9,0.291,0.471,0.331,38.7
Santana, Ervin,429722,KC,FF,4-Seamer,1.7,8,479,45.1,128,0.342,0.623,0.439,14.5,10.2,11.5,0.325,0.657,0.437,52.9
Bickford, Phil,641360,LAD,FF,4-Seamer,-2.3,-11,498,64.2,127,0.193,0.377,0.279,27.5,29.9,26.6,0.227,0.425,0.309,44.9
Darvish, Yu,506433,SD,FF,4-Seamer,0,0,611,22.1,127,0.153,0.407,0.27,34.5,43.3,26.2,0.149,0.352,0.242,42.9
Smith, Burch,572143,OAK,FF,4-Seamer,-0.3,-1,467,68.9,125,0.291,0.444,0.341,21.4,16,16.4,0.288,0.478,0.348,41.2
Hill, Tim,657612,SD,FF,4-Seamer,-0.3,-1,455,47.3,124,0.198,0.33,0.292,25.9,31.5,19.5,0.206,0.357,0.302,35.3
López, Reynaldo,625643,CWS,FF,4-Seamer,-0.9,-5,543,57.9,124,0.196,0.42,0.283,22.8,26.6,18.8,0.228,0.416,0.297,39
Houck, Tanner,656557,BOS,FF,4-Seamer,-0.4,-2,443,38.6,124,0.257,0.321,0.307,20.7,24.2,22.9,0.241,0.396,0.315,39.5
Steele, Justin,657006,CHC,FF,4-Seamer,-0.4,-2,438,45.4,122,0.227,0.443,0.381,29.6,23.8,25.9,0.198,0.31,0.314,20.3
Helsley, Ryan,664854,STL,FF,4-Seamer,-0.6,-3,449,55.8,122,0.28,0.411,0.34,16.4,13.9,18.3,0.305,0.521,0.39,50.5
Barnes, Matt,598264,BOS,FF,4-Seamer,1.2,5,458,49.8,121,0.24,0.481,0.361,26,27.3,21.7,0.189,0.403,0.306,40.3
López, Pablo,641154,MIA,FF,4-Seamer,-1.6,-9,530,31.8,120,0.219,0.447,0.3,22.6,33.3,19.1,0.219,0.422,0.287,38.7
Quintana, José,500779,SF,FF,4-Seamer,0.1,0,506,40.8,120,0.296,0.519,0.383,24.9,30.8,22.3,0.259,0.455,0.342,46.5
Duffy, Danny,518633,KC,FF,4-Seamer,-2.1,-9,432,42.8,119,0.212,0.298,0.297,26.2,25.2,22.2,0.23,0.378,0.313,35.1
Norris, Daniel,596057,MIL,FF,4-Seamer,0.2,1,469,47.4,118,0.242,0.4,0.355,18.3,18.6,17.1,0.224,0.384,0.34,47.3
Gonsolin, Tony,664062,LAD,FF,4-Seamer,-0.6,-2,432,43.6,118,0.298,0.564,0.43,15.2,13.6,16,0.256,0.437,0.373,39.2
Staumont, Josh,622251,KC,FF,4-Seamer,-1.2,-6,483,44.1,117,0.204,0.296,0.298,21.1,19.7,20.2,0.236,0.369,0.33,44
Jiménez, Joe,641729,DET,FF,4-Seamer,-0.6,-3,468,54,117,0.19,0.369,0.361,25.5,23.1,20,0.168,0.349,0.346,36.2
Plutko, Adam,592644,BAL,FF,4-Seamer,0.8,4,506,49.9,116,0.296,0.561,0.4,22.1,15.5,15,0.287,0.547,0.391,39.8
Vesia, Alex,681911,LAD,FF,4-Seamer,-0.4,-2,471,72.4,116,0.163,0.398,0.299,38.6,36.2,27.8,0.159,0.36,0.284,36.8
Chapman, Aroldis,547973,NYY,FF,4-Seamer,0.6,4,569,56.7,115,0.306,0.6,0.457,29.3,23.5,26.7,0.256,0.544,0.425,46.7
Wells, Tyler,669330,BAL,FF,4-Seamer,-0.5,-3,502,56.2,114,0.184,0.379,0.28,27.5,28.9,22.1,0.243,0.51,0.343,48.6
Fry, Paul,643316,BAL,FF,4-Seamer,0.1,0,475,54.5,113,0.244,0.289,0.348,20.3,23.9,23.7,0.233,0.319,0.327,32.3
De Los Santos, Enyel,660853,PIT,FF,4-Seamer,1.5,7,477,68.4,113,0.333,0.625,0.463,30.3,27.4,21.2,0.264,0.514,0.374,47.1
Cisnero, José,542585,DET,FF,4-Seamer,0,0,433,40.6,113,0.198,0.341,0.329,29.6,32.7,21,0.192,0.34,0.318,37
Freeland, Kyle,607536,COL,FF,4-Seamer,-1.2,-6,470,24.9,113,0.279,0.423,0.328,13.6,7.1,10.4,0.266,0.431,0.322,30.6
López, Jorge,605347,BAL,FF,4-Seamer,0.6,3,456,21.1,113,0.287,0.596,0.417,22.4,23,20,0.254,0.485,0.368,47.1
Hand, Brad,543272,NYM,FF,4-Seamer,0.7,3,434,40.3,113,0.25,0.457,0.368,17.9,22.1,18.1,0.263,0.476,0.37,43.7
Ponce de Leon, Daniel,594965,STL,FF,4-Seamer,1,5,481,73.7,112,0.298,0.548,0.426,24.1,17,13.5,0.268,0.531,0.415,37.7
Zimmermann, Bruce,669145,BAL,FF,4-Seamer,1.8,8,466,42.2,111,0.392,0.711,0.496,13.4,8.1,8.3,0.367,0.686,0.476,48.3
Underwood Jr., Duane,621249,PIT,FF,4-Seamer,0.4,2,427,36.3,111,0.258,0.387,0.351,16.5,13.5,13.2,0.279,0.471,0.369,39.5
Hembree, Heath,592390,NYM,FF,4-Seamer,0.6,3,570,52.3,110,0.253,0.444,0.345,18.8,26.4,14.6,0.235,0.383,0.307,50
White, Mitch,669952,LAD,FF,4-Seamer,0.5,2,396,52,110,0.211,0.368,0.315,14.5,20,20.2,0.271,0.451,0.351,44
Germán, Domingo,593334,NYY,FF,4-Seamer,1.7,8,454,28.8,110,0.29,0.65,0.429,22.4,18.2,16,0.282,0.605,0.4,55
Clarke, Taylor,664199,ARI,FF,4-Seamer,1.6,6,403,53.4,109,0.38,0.61,0.449,16.3,16.5,13.3,0.313,0.516,0.375,50.6
Allen, Logan,663531,CLE,FF,4-Seamer,2.3,9,366,41.9,109,0.326,0.611,0.432,11.3,12.8,13.9,0.347,0.647,0.45,53
Watkins, Spenser,657093,BAL,FF,4-Seamer,2.7,12,447,46.6,109,0.347,0.643,0.443,13.1,15.6,16.8,0.318,0.602,0.416,41
Duffey, Tyler,608648,MIN,FF,4-Seamer,-1.2,-6,469,44.5,109,0.253,0.374,0.339,19.7,22,17.5,0.22,0.384,0.325,45.6
Hernandez, Elieser,622694,MIA,FF,4-Seamer,1.8,8,421,51.5,109,0.354,0.697,0.466,15.6,15.6,12.6,0.303,0.594,0.397,53.6
Feyereisen, J.P.,656420,TB,FF,4-Seamer,-1.8,-9,508,51.5,108,0.167,0.286,0.307,28.3,17.6,14.8,0.191,0.397,0.339,44.8
Dunn, Justin,643290,SEA,FF,4-Seamer,0.5,2,450,51.7,108,0.232,0.476,0.394,20.7,12,15.3,0.266,0.537,0.424,46.4
Neris, Héctor,593576,PHI,FF,4-Seamer,1.2,5,459,36.9,107,0.239,0.511,0.376,32.6,35.5,24.7,0.194,0.422,0.318,53.7
Sawamura, Hirokazu,617228,BOS,FF,4-Seamer,-0.4,-2,430,45.5,107,0.247,0.584,0.406,19.3,15.9,20.5,0.269,0.556,0.404,47.9
Guerra, Deolis,500610,OAK,FF,4-Seamer,0.8,3,400,36.8,107,0.281,0.469,0.357,14.3,18.7,18.9,0.225,0.419,0.31,42.9
Luzardo, Jesús,666200,MIA,FF,4-Seamer,2.8,12,432,25,106,0.348,0.674,0.467,19.9,17,14.1,0.313,0.606,0.423,48.7
Barría, Jaime,642545,LAA,FF,4-Seamer,0.3,1,321,35,105,0.303,0.424,0.347,13.8,15.2,13.6,0.315,0.479,0.36,56.6
Garrett, Amir,607237,CIN,FF,4-Seamer,1.8,7,404,48.8,105,0.291,0.57,0.438,14.7,12.4,15.9,0.296,0.523,0.408,51.4
Reyes, Alex,621052,STL,FF,4-Seamer,-1,-4,385,30.8,105,0.207,0.293,0.333,23.2,18.1,17.3,0.22,0.377,0.344,35.9
Givens, Mychal,571710,CIN,FF,4-Seamer,0.3,1,408,46.7,105,0.293,0.489,0.373,29.7,33.3,25.2,0.225,0.362,0.3,29.3
Bradley, Archie,605151,PHI,FF,4-Seamer,-0.8,-3,431,46.8,105,0.237,0.473,0.352,18.1,26.7,18.7,0.222,0.423,0.319,46.2
Santillan, Tony,663574,CIN,FF,4-Seamer,-0.2,-1,360,47.3,105,0.241,0.53,0.387,22.1,21,22.4,0.216,0.413,0.343,38.5
Pressly, Ryan,519151,HOU,FF,4-Seamer,-0.3,-1,378,39.5,104,0.255,0.372,0.322,18.6,22.1,20.5,0.229,0.408,0.31,39.4
Barlow, Scott,605130,KC,FF,4-Seamer,-0.1,-1,405,33.1,103,0.275,0.396,0.338,16.8,11.7,15.8,0.284,0.483,0.37,49.4
Maeda, Kenta,628317,MIN,FF,4-Seamer,0.2,1,460,25.9,103,0.297,0.549,0.396,23.2,27.2,23.3,0.27,0.539,0.377,48.4
Zimmer, Kyle,622092,KC,FF,4-Seamer,0.8,4,471,50.4,103,0.3,0.412,0.388,16.6,12.6,12.3,0.257,0.376,0.366,40.6
Thompson, Keegan,624522,CHC,FF,4-Seamer,-0.8,-4,449,46.5,103,0.272,0.457,0.397,17.2,15.5,16.5,0.279,0.48,0.397,43.3
Bard, Daniel,453268,COL,FF,4-Seamer,0.6,2,424,34.8,103,0.337,0.518,0.433,23.4,21.4,16.9,0.258,0.418,0.368,44.3
Wendelken, J.B.,605525,ARI,FF,4-Seamer,-0.8,-3,378,50.5,103,0.239,0.352,0.332,22.1,22.3,19.8,0.275,0.491,0.38,33.8
Canning, Griffin,656288,LAA,FF,4-Seamer,1.8,8,441,40.8,103,0.256,0.581,0.419,20.7,17.5,17,0.275,0.562,0.408,52.9
Kay, Anthony,641743,TOR,FF,4-Seamer,1.3,5,379,58.4,102,0.31,0.54,0.421,20.5,21.6,18.2,0.274,0.461,0.369,30.8
Foster, Matt,641582,CWS,FF,4-Seamer,-0.7,-3,463,63.5,102,0.233,0.326,0.327,22.9,23.5,19.7,0.275,0.476,0.37,54.7
Rainey, Tanner,663432,WSH,FF,4-Seamer,2,8,430,64.7,101,0.253,0.57,0.413,28.1,20.8,15.3,0.248,0.566,0.409,55.9
Leone, Dominic,608678,SF,FF,4-Seamer,-0.7,-3,403,47.4,101,0.25,0.393,0.339,22.8,19.8,16.1,0.275,0.501,0.378,55.9
De Jong, Chase,608328,PIT,FF,4-Seamer,1.4,5,379,48.9,100,0.289,0.667,0.425,16.5,18,15.9,0.315,0.706,0.449,53.4
Stephenson, Robert,596112,COL,FF,4-Seamer,0.7,3,379,49.4,100,0.307,0.534,0.407,16.8,14,15.7,0.277,0.477,0.358,40.8
Sulser, Cole,642121,BAL,FF,4-Seamer,0.2,1,547,51.1,98,0.279,0.5,0.376,28.7,26.5,18.2,0.226,0.453,0.335,58.3
Andriese, Matt,542882,SEA,FF,4-Seamer,1,4,375,43.9,98,0.326,0.581,0.407,23.8,25.5,20.2,0.277,0.522,0.36,45.3
Civale, Aaron,650644,CLE,FF,4-Seamer,1.4,6,429,22.5,98,0.278,0.6,0.394,15.3,14.3,10.8,0.319,0.621,0.42,48.7
Howard, Sam,607572,PIT,FF,4-Seamer,0.6,2,366,43.3,97,0.216,0.486,0.382,34,35.1,26.2,0.193,0.408,0.362,46.3
Iglesias, Raisel,628452,LAA,FF,4-Seamer,-1.7,-6,369,34.8,97,0.216,0.432,0.286,31.1,36.1,27.6,0.197,0.387,0.266,45.6
Garcia, Yimi,554340,HOU,FF,4-Seamer,-0.7,-2,371,39.3,97,0.222,0.478,0.315,26.8,33,20.9,0.257,0.533,0.349,42.4
Lamet, Dinelson,659275,SD,FF,4-Seamer,1.1,4,362,43.5,96,0.36,0.507,0.441,19.6,13.5,15.9,0.307,0.477,0.406,40.6
Cimber, Adam,643256,TOR,FF,4-Seamer,-0.9,-3,332,32.5,96,0.195,0.276,0.251,27.5,33.3,19,0.201,0.291,0.258,43.6
Martínez, Carlos,593372,STL,FF,4-Seamer,0.5,2,352,27.5,96,0.269,0.474,0.391,11.1,9.4,9.3,0.304,0.549,0.426,48.6
Keller, Kyle,664918,PIT,FF,4-Seamer,2,7,364,55.7,96,0.244,0.462,0.393,12.6,20.8,15.7,0.219,0.412,0.347,37.9
Almonte, Yency,622075,COL,FF,4-Seamer,0.2,1,395,45.4,96,0.263,0.463,0.374,10.9,10.4,13.3,0.284,0.518,0.4,45.7
Trivino, Lou,642152,OAK,FF,4-Seamer,-2.4,-7,298,25.3,95,0.173,0.296,0.267,29,32.6,23.3,0.217,0.422,0.328,37.3
Brubaker, JT,664141,PIT,FF,4-Seamer,0.1,0,476,24.5,94,0.241,0.506,0.357,18.1,11.7,10.9,0.261,0.495,0.35,38.7
Curtiss, John,595928,MIL,FF,4-Seamer,-2.3,-8,350,49.8,94,0.155,0.238,0.228,26.4,26.6,24.3,0.231,0.409,0.309,45
Wells, Alexander,649144,BAL,FF,4-Seamer,1.4,5,383,50.8,94,0.313,0.5,0.394,14.6,16,15,0.286,0.498,0.378,53
Falter, Bailey,663559,PHI,FF,4-Seamer,-1.2,-4,347,62.9,93,0.239,0.352,0.289,20.5,24.7,23.7,0.23,0.332,0.266,35.4
Hendricks, Kyle,543294,CHC,FF,4-Seamer,0.8,4,501,17.8,93,0.312,0.649,0.444,29.9,24.7,23.2,0.28,0.58,0.411,55.4
Holland, Greg,518813,KC,FF,4-Seamer,0.6,3,402,40.3,92,0.253,0.506,0.383,19.2,12,13.8,0.305,0.637,0.437,48.5
Shreve, Chasen,592741,PIT,FF,4-Seamer,-0.4,-2,376,40.2,91,0.26,0.481,0.35,13.6,8.8,9.8,0.233,0.443,0.337,26.4
Lange, Alex,656638,DET,FF,4-Seamer,2,6,290,45.4,91,0.312,0.468,0.412,11.4,8.8,11,0.326,0.554,0.422,60.9
Newcomb, Sean,656794,ATL,FF,4-Seamer,2.3,9,388,57.7,91,0.308,0.462,0.434,19.7,22,18.2,0.275,0.429,0.411,45.7
Brogdon, Connor,641401,PHI,FF,4-Seamer,0.7,3,414,44.9,90,0.3,0.512,0.383,25.6,22.2,17.9,0.261,0.462,0.346,44.3
Thompson, Zach,605507,MIA,FF,4-Seamer,1.8,6,326,27.3,90,0.311,0.595,0.478,24.8,16.7,14.2,0.257,0.505,0.388,39
Kranick, Max,668820,PIT,FF,4-Seamer,2.5,8,327,48.5,90,0.367,0.557,0.44,20.5,16.7,18.5,0.307,0.467,0.378,40.6
Mills, Alec,621219,CHC,FF,4-Seamer,1.6,5,333,17.2,89,0.321,0.654,0.44,10.9,9,10,0.313,0.592,0.414,44.4
Gibson, Kyle,502043,PHI,FF,4-Seamer,0.4,1,366,12.7,89,0.292,0.375,0.362,10.5,10.1,11.4,0.282,0.429,0.376,26.6
Patton, Spencer,607359,TEX,FF,4-Seamer,-0.1,0,398,56.5,88,0.224,0.382,0.319,26.2,27.3,21.4,0.214,0.373,0.311,32.7
Misiewicz, Anthony,664948,SEA,FF,4-Seamer,-1,-3,316,35.3,88,0.286,0.405,0.318,25.6,29.5,23.9,0.235,0.411,0.292,50
Scott, Tanner,656945,BAL,FF,4-Seamer,0.7,3,469,45.4,88,0.206,0.338,0.334,23.3,18.2,19.5,0.244,0.419,0.37,44.4
Kowar, Jackson,663804,KC,FF,4-Seamer,2.4,8,349,55.3,87,0.37,0.575,0.438,15.2,11.5,15.9,0.339,0.567,0.429,55.4
Wilson, Justin,458677,CIN,FF,4-Seamer,2.2,8,351,58.1,87,0.288,0.575,0.422,25.3,25.3,20.6,0.271,0.515,0.392,43.1
Fairbanks, Pete,664126,TB,FF,4-Seamer,-1,-5,446,57.6,86,0.2,0.28,0.284,31.3,27.9,19.5,0.188,0.318,0.274,30.8
Floro, Dylan,571670,MIA,FF,4-Seamer,-1.3,-4,328,30.5,86,0.145,0.158,0.201,34.1,44.2,22.5,0.16,0.202,0.221,23.7
Smith, Drew,622098,NYM,FF,4-Seamer,-3.2,-10,316,51.8,86,0.158,0.329,0.253,20.7,22.1,20.2,0.239,0.448,0.335,46.6
Carrasco, Carlos,471911,NYM,FF,4-Seamer,0.2,1,353,39.7,86,0.293,0.613,0.405,21.8,17.4,19,0.253,0.506,0.357,45.2
Parker, Blake,453284,CLE,FF,4-Seamer,-0.9,-3,330,46.3,86,0.316,0.5,0.385,14.7,11.6,13.7,0.275,0.468,0.344,42.6
Machado, Andres,600921,WSH,FF,4-Seamer,0,0,349,55.7,85,0.23,0.432,0.337,22.5,22.4,16.4,0.229,0.426,0.328,42.9
Armstrong, Shawn,542888,TB,FF,4-Seamer,0,0,378,55.2,85,0.203,0.365,0.302,32.4,31.8,21.6,0.188,0.375,0.288,41.7
Faria, Jake,607188,ARI,FF,4-Seamer,3.2,12,358,56,85,0.397,0.726,0.516,15.5,14.1,13.6,0.305,0.603,0.421,56.5
Montgomery, Jordan,656756,NYY,FF,4-Seamer,-0.3,-1,417,16.2,84,0.247,0.455,0.331,19,25,13.1,0.253,0.461,0.335,50
Suárez, Ranger,624133,PHI,FF,4-Seamer,-2.4,-9,365,22.6,84,0.173,0.213,0.238,22.8,14.3,11.7,0.21,0.284,0.266,27
Minaya, Juan,573668,MIN,FF,4-Seamer,0.1,0,339,51.4,83,0.25,0.438,0.378,19.9,25.3,25.6,0.2,0.381,0.339,44.4
Sims, Lucas,608371,CIN,FF,4-Seamer,-0.2,-1,336,41.2,83,0.151,0.356,0.261,26.3,39.8,24.4,0.153,0.357,0.262,34.1
Quijada, José,650671,LAA,FF,4-Seamer,-1.7,-6,366,73.3,83,0.176,0.25,0.278,34.7,39.8,25,0.186,0.257,0.284,45.7
Sandoval, Patrick,663776,LAA,FF,4-Seamer,0,0,352,24.4,83,0.282,0.451,0.378,17.6,9.6,11.1,0.282,0.483,0.38,34.4
Quantrill, Cal,615698,CLE,FF,4-Seamer,0.7,2,342,14.5,83,0.281,0.531,0.422,19,19.3,13.8,0.231,0.411,0.364,44.9
Oviedo, Luis,665854,PIT,FF,4-Seamer,3.5,10,293,50.5,81,0.365,0.651,0.485,14,8.6,13.5,0.363,0.678,0.487,50
Rogers, Josh,642028,WSH,FF,4-Seamer,-1.1,-3,270,50.7,81,0.25,0.444,0.336,13.7,13.6,21.2,0.277,0.496,0.363,46.8
Diplán, Marcos,650959,BAL,FF,4-Seamer,0.7,2,319,62.3,81,0.235,0.441,0.356,24.7,22.2,19.1,0.234,0.443,0.343,49
Alcala, Jorge,660896,MIN,FF,4-Seamer,0.5,2,324,37.3,80,0.239,0.507,0.344,25.8,21.3,18.3,0.254,0.55,0.365,44.6
Alexander, Tyler,641302,DET,FF,4-Seamer,-0.2,0,241,14.7,80,0.253,0.427,0.328,16.5,18.8,16.5,0.249,0.517,0.344,43.3
Colomé, Alex,517008,MIN,FF,4-Seamer,1,3,325,29.5,80,0.371,0.532,0.473,12,10,11.6,0.358,0.624,0.481,53.7
Sale, Chris,519242,BOS,FF,4-Seamer,-0.3,-1,352,47.8,79,0.254,0.437,0.335,27.5,32.9,22.2,0.216,0.355,0.289,46.7
Farmer, Buck,571656,DET,FF,4-Seamer,1.5,5,346,47.7,79,0.323,0.6,0.437,20,20.3,15.2,0.27,0.515,0.388,52
Diaz, Miguel,622766,SD,FF,4-Seamer,-0.4,-1,321,46.2,79,0.224,0.463,0.362,16.9,25.3,25,0.276,0.496,0.384,51.1
Swanson, Erik,657024,SEA,FF,4-Seamer,-0.5,-2,338,59.9,79,0.25,0.5,0.352,27.2,22.8,18,0.23,0.447,0.312,38.2
Baragar, Caleb,670056,SF,FF,4-Seamer,-1.2,-3,290,81,79,0.269,0.403,0.334,20.8,13.9,14.9,0.241,0.445,0.337,43.1
Thornton, Trent,663423,TOR,FF,4-Seamer,0.3,1,353,38.8,79,0.277,0.523,0.41,18.5,20.3,13.8,0.257,0.522,0.404,56
Bielak, Brandon,656232,HOU,FF,4-Seamer,-0.1,0,335,40.1,78,0.295,0.393,0.382,23.8,17.9,13.6,0.26,0.395,0.353,50
Jackson, Luke,592426,ATL,FF,4-Seamer,0.5,2,376,35.6,78,0.27,0.492,0.383,22.2,21.8,15.5,0.299,0.63,0.44,62.5
Burr, Ryan,621114,CWS,FF,4-Seamer,0.3,1,298,50.3,78,0.237,0.407,0.37,16,16.7,19.1,0.239,0.368,0.364,56.3
Pérez, Cionel,672335,CIN,FF,4-Seamer,0.7,2,292,64.3,78,0.262,0.41,0.381,26.4,20.5,26.7,0.241,0.378,0.351,45.7
Peterson, David,656849,NYM,FF,4-Seamer,-0.8,-3,330,29.4,77,0.221,0.382,0.304,22.7,26,26,0.253,0.464,0.344,40.8
Detwiler, Ross,446321,SD,FF,4-Seamer,0,0,303,34.1,77,0.235,0.574,0.371,23.2,35.1,29,0.21,0.473,0.339,48.8
Taylor, Josh,657031,BOS,FF,4-Seamer,1.2,4,292,36.9,77,0.339,0.468,0.419,21.3,19.5,20,0.342,0.544,0.44,44.7
Chafin, Andrew,605177,OAK,FF,4-Seamer,-2.6,-7,270,28.5,77,0.191,0.279,0.261,10.7,14.3,17.7,0.234,0.389,0.317,40.4
Neidert, Nick,663734,MIA,FF,4-Seamer,1.5,4,281,47,77,0.323,0.484,0.408,12.3,9.1,8.4,0.327,0.521,0.423,44.6
Sheffield, Jordan,642068,COL,FF,4-Seamer,-1,-3,294,64.5,76,0.177,0.29,0.284,16,11.8,14.1,0.236,0.415,0.349,42.6
Springs, Jeffrey,605488,TB,FF,4-Seamer,-0.3,-1,315,41.9,76,0.206,0.397,0.296,39.3,47.4,34,0.137,0.241,0.21,36.4
Funkhouser, Kyle,608335,DET,FF,4-Seamer,-2,-5,259,21.8,76,0.149,0.194,0.206,26.5,36.8,20.9,0.17,0.263,0.236,42.5
Long, Sam,669674,SF,FF,4-Seamer,-0.6,-2,309,42.2,76,0.25,0.484,0.374,14.2,15.8,15.2,0.26,0.472,0.37,54.7
Payamps, Joel,606303,KC,FF,4-Seamer,-1.8,-6,338,40.9,76,0.214,0.357,0.292,25,26.3,15.6,0.196,0.312,0.254,32
Vest, Will,676684,SEA,FF,4-Seamer,-0.6,-2,345,56.8,76,0.242,0.371,0.33,21.3,17.1,16.7,0.265,0.38,0.34,41.2
Wainwright, Adam,425794,STL,FF,4-Seamer,2.3,7,290,9.5,75,0.257,0.5,0.345,12.1,30.7,16.8,0.262,0.483,0.34,57.4
Montero, Rafael,606160,HOU,FF,4-Seamer,2.4,7,311,35.7,75,0.27,0.429,0.367,26.9,22.7,15.3,0.212,0.344,0.302,31.9
Lowther, Zac,675912,BAL,FF,4-Seamer,1.1,3,309,54.1,75,0.338,0.569,0.442,19.1,18.7,14.9,0.318,0.687,0.458,52.9
Knehr, Reiss,663753,SD,FF,4-Seamer,-2.3,-6,280,54.6,75,0.167,0.3,0.279,21.1,20,19.7,0.227,0.434,0.348,44.7
Webb, Jacob,657097,ATL,FF,4-Seamer,2,5,253,44.5,75,0.288,0.47,0.361,22,22.7,23,0.278,0.514,0.367,44
Minter, A.J.,621345,ATL,FF,4-Seamer,0.3,1,372,42.5,75,0.242,0.371,0.329,30.3,30.7,20.7,0.233,0.316,0.309,37.5
Soria, Joakim,465657,TOR,FF,4-Seamer,1.2,4,359,59.3,74,0.318,0.591,0.418,18.9,13.5,14.1,0.309,0.531,0.393,39.3
Pomeranz, Drew,519141,SD,FF,4-Seamer,-1.1,-4,324,75.3,74,0.238,0.413,0.321,29.3,29.7,25.9,0.209,0.4,0.303,46.5
Kuhl, Chad,641771,PIT,FF,4-Seamer,1.8,7,365,25.4,73,0.317,0.533,0.448,14.6,12.3,12.7,0.268,0.472,0.381,41.2
Evans, Demarcus,663770,TEX,FF,4-Seamer,0.4,1,315,60.3,73,0.237,0.373,0.342,20.7,23.3,16.3,0.233,0.369,0.335,30.2
Banda, Anthony,607455,PIT,FF,4-Seamer,0.2,1,292,47.9,73,0.313,0.578,0.398,22.4,27.4,23.3,0.256,0.436,0.328,47.8
Ponce, Cody,664074,PIT,FF,4-Seamer,1.1,3,297,41.7,72,0.323,0.492,0.385,13.4,18.1,14.8,0.271,0.437,0.341,38.5
Peralta, Wily,503449,DET,FF,4-Seamer,1.3,5,372,23.9,72,0.3,0.467,0.425,9.6,5.6,4.7,0.309,0.475,0.391,45.6
Ginkel, Kevin,656464,ARI,FF,4-Seamer,0.8,3,330,59.4,72,0.311,0.59,0.426,15.2,19.4,14.9,0.278,0.562,0.402,41.7
Davis, Austin,656354,BOS,FF,4-Seamer,0.1,0,246,52,72,0.23,0.443,0.353,23.5,27.8,24.4,0.237,0.378,0.326,46.5
Turnbull, Spencer,605513,DET,FF,4-Seamer,-1.6,-4,276,35.6,71,0.203,0.328,0.287,25,25.4,22.8,0.198,0.312,0.264,41.3
Megill, Trevor,656730,CHC,FF,4-Seamer,3.1,9,291,63.3,71,0.364,0.636,0.455,19.2,18.3,17.6,0.321,0.596,0.404,48.1
Martin, Chris,455119,ATL,FF,4-Seamer,0.9,2,266,40.1,70,0.308,0.462,0.354,19.4,22.9,17,0.268,0.41,0.314,54
Mears, Nick,683232,PIT,FF,4-Seamer,-0.1,0,290,64.2,70,0.246,0.439,0.357,26.7,18.6,16.9,0.253,0.435,0.37,33.3
Martin, Brett,656685,TEX,FF,4-Seamer,-0.2,-1,221,24.1,70,0.29,0.387,0.34,8.5,8.6,12,0.27,0.361,0.304,32.2
Goudeau, Ashton,623485,COL,FF,4-Seamer,0.2,0,256,45.4,70,0.236,0.455,0.365,15.5,15.7,14.3,0.256,0.464,0.375,46.8
Díaz, Yennsy,660546,NYM,FF,4-Seamer,0.1,0,287,64.2,69,0.263,0.439,0.359,25.6,18.8,17.1,0.221,0.36,0.318,44.4
Davis, Wade,451584,KC,FF,4-Seamer,0.4,1,310,40.3,68,0.293,0.534,0.378,13.4,13.2,13.8,0.313,0.567,0.403,50
Brach, Brad,542960,CIN,FF,4-Seamer,1.2,3,275,47.5,67,0.25,0.518,0.392,24.2,29.9,18.3,0.206,0.458,0.341,40.5
Alzolay, Adbert,640470,CHC,FF,4-Seamer,0.9,3,361,18.5,67,0.267,0.65,0.408,26.8,23.9,17.8,0.31,0.602,0.412,55.6
Hendrix, Ryan,641682,CIN,FF,4-Seamer,1.8,4,237,43.9,67,0.375,0.732,0.495,7.7,7.5,17.9,0.36,0.632,0.454,53.8
Anderson, Chase,502624,PHI,FF,4-Seamer,2.2,6,276,32.4,66,0.286,0.732,0.476,23,12.1,9.4,0.304,0.709,0.464,43.8
Abreu, Bryan,650556,HOU,FF,4-Seamer,0.2,0,310,45,66,0.273,0.418,0.392,23.9,12.1,11.4,0.274,0.428,0.367,34
Head, Louis,545343,TB,FF,4-Seamer,-2.1,-6,286,52.4,65,0.172,0.259,0.234,21.1,15.4,13.7,0.206,0.452,0.305,34
Whitley, Kodi,676831,STL,FF,4-Seamer,-1.7,-4,228,56.9,65,0.192,0.288,0.285,25,30.8,24.4,0.207,0.344,0.306,35.3
Barnes, Jacob,606930,TOR,FF,4-Seamer,-0.7,-2,312,54.7,65,0.276,0.466,0.367,21.6,20,14.8,0.221,0.427,0.312,37
Rodriguez, Jefry,622446,WSH,FF,4-Seamer,-0.1,0,212,51.5,64,0.226,0.34,0.338,22.5,23.4,25.9,0.194,0.291,0.293,34.2
Santiago, Héctor,502327,SEA,FF,4-Seamer,-0.5,-2,321,65.4,64,0.241,0.315,0.303,26.9,26.6,17.2,0.199,0.278,0.276,42.1
Poteet, Cody,547001,MIA,FF,4-Seamer,-1.2,-3,268,48.8,63,0.212,0.385,0.331,18.9,23.8,19.5,0.244,0.44,0.359,48.6
